Run,Mean Q DN
0,4.438392642671281
1,12.669587634851856
2,0.43691719578371924
3,35.65596535858995
4,92.46244424195672
5,311.20009052091376
6,25.11814243430331
7,236.5011963203632
8,17.670362841008053
9,20.5646631114683
10,18.044070544376495
11,80.14685005166147
12,11.325645718704607
13,14.86069100064389
14,5.690713801130797
15,17.157419689318115
16,66.152889967113
17,19.569309313337538
18,94.85804506750054
19,1.1739879727262175
20,0.15321877282113697
21,142.27453888026992
22,13.914475715037087
23,11.817203010794087
24,5.04692043981979
25,0.6960020785853063
26,18.788719658504196
27,27.032402005296365
28,281.36967403234104
29,67.42818448597205
30,67.98085400277051
31,5.079691625420588
32,138.61732483115742
33,6.917559696077637
34,31.07473287871622
35,2.7771468374123836
36,40.868250792792686
37,34.38068743241556
38,47.37215503515668
39,66.27248205557407
40,18.868322561064847
41,27.24082694166328
42,19.404190642449315
43,7.97332256774748
44,96.15670930331775
45,173.83186592154368
46,28.57202897149248
47,23.68055840884446
48,40.32313266935579
49,3.2074473504638843
50,20.91272741343605
51,11.676314688573678
52,24.585035513118
53,5.309558817162291
54,8.79283126933581
55,84.3037412528805
56,12.73670000301872
57,41.00442923701748
58,12.034631216054533
59,5.8761014488793
60,3.7238847269925404
61,6.29112076594219
62,9.00427713519907
63,19.72343572180832
64,2.6966149731781877
65,155.12553173719954
66,163.5195074410013
67,7.6706472052757215
68,3.1780866681096995
69,18.62482511424484
70,13.529958402363405
71,12.830538206634316
72,39.98262537695664
73,1.9817383186239523
74,4.626036493363498
75,5.266706966473089
76,22.091748077187674
77,2.8781579572081153
78,88.18582493908328
79,48.282644407966096
80,63.10034354366224
81,19.889485862721752
82,3.297734635200211
83,5.43349143489603
84,109.93690516718404
85,0.08305288585129654
86,0.5657101798411495
87,159.63561063306884
88,6.9039999812828015
89,13.720709582897875
90,19.814998363189737
91,22.0149522826645
92,6.594594796049209
93,0.1602483252358708
94,54.10274092052204
95,6.5528018915729085
96,7.848522915568089
97,149.74666322045834
98,50.25140561429284
99,28.162939415254566
