Run,Mean Q Registration,Mean Q Consultation,Mean Q Booking Test,Mean System Time
0,3.554001763929686,3.940414247288996,2.5161521882592726,18.36624055581802
1,2.5810207491483994,33.07198443969387,1.9251146954902645,47.97731483786678
2,1.962753991452705,8.642818202282319,2.015548122428275,21.683350877592158
3,1.9394534863210604,8.365163722331461,2.071263283970557,22.04335619803398
4,1.7851314516956243,11.718130642574163,1.6237348636411129,24.05356754265286
5,2.848972444268692,22.789516727181223,3.2305759115203414,37.79791168680699
6,4.546346719789828,6.520127220815923,3.8746839928417725,22.845009257884293
7,2.2674439545964846,27.419790977619883,1.6622825194956534,41.38287759910603
8,3.446961431247407,5.9984663937623095,3.65490836735356,20.622887957220183
9,2.0741658693741316,18.590519539154233,2.5883997632630473,32.22273317945413
10,3.4500901394511976,45.4864933795855,3.920040192911791,60.54409300436246
11,6.684124734675271,10.951493905948999,6.232635267152988,29.06754944809384
12,1.9550735214966029,3.4404580792595523,1.725983737411833,16.29110695647194
13,2.3826668008781584,9.041566003937099,2.8577349139553005,24.078539626918392
14,1.7963362465236414,7.734259531772696,3.449594790377356,20.387438833553663
15,2.1408910009052464,16.119704041700217,3.0352571379587534,30.80796665175964
16,1.9481861005103938,13.38284752009868,1.848662496632128,26.314614930635884
17,2.0035529649110235,3.5337573739986645,1.7363968560518472,16.587439298658015
18,1.9316951876855482,9.456172007615585,2.0131662453052765,22.751025849364968
19,6.479209328096664,9.63379732425097,7.099630345012557,28.386682656559937
20,2.6667543552191715,8.532068895757043,2.376120055617115,22.5764108106649
21,2.1479461436949796,12.197460191285186,1.163418473554422,26.243860679477205
22,4.757373023121582,18.927267440329345,5.950130498933831,34.541995413406966
23,1.330214809225904,6.982244091376571,1.0416879589939272,19.70629575545479
24,3.639849842109735,6.569233708668827,1.769537318900496,21.00709122123465
25,3.333487831090612,17.109543128807143,3.363121337714485,32.52347824399456
26,3.312829534536345,15.25790580126335,4.31653338921114,31.422307912261918
27,1.8514761870469765,3.428667028845539,1.3400391179928812,15.796810541671451
28,1.9414655161343262,5.455528740129145,1.679629608824782,17.51030975984373
29,1.078169563076917,2.3141564265178114,0.8500745552159892,13.480425589538259
30,1.6156102725712718,6.414290563172026,1.0534990867811316,19.072495114422885
31,2.066271509399895,15.673902517293683,3.2729701670486975,29.06978058555386
32,3.3575057313999763,31.988222396448645,3.0140165036214057,47.45287197990271
33,4.47734176059568,9.264216022969151,3.717458881540429,26.371219239588736
34,1.3323549939702484,11.765057227240101,1.907487628189777,24.230002891170763
35,1.6157462994266878,7.9106740394733635,1.534815138664129,19.864935801295292
36,6.811462190986236,13.020205918753614,5.129189092461064,30.6383073589934
37,5.0524322122577985,12.224208667681308,4.875549346324632,29.34969069845589
38,2.034039694685903,11.706504079851493,1.922238942239551,25.964537943094836
39,2.9471920983938915,22.42534461627937,3.136915850319982,37.99221055083489
40,1.5266636352231338,8.303559740354256,1.7686720203157704,21.33171518872864
41,3.7949794122099774,17.77478834214623,2.599169626941654,33.938625275564625
42,2.2940739700816093,11.07654097114971,2.2980361701102625,26.002640821479034
43,1.32574178529873,3.699106631976784,1.041436504319517,15.428557901473146
44,2.6883176225520695,6.227837987097297,2.5318047890402546,19.01282231249779
45,5.181135961685663,4.752477630524987,4.714101627829501,20.670438119364373
46,3.1833783584539748,8.888077532293675,3.791415735438059,23.46039389046353
47,2.3473559015628425,12.03275164494646,1.8061532117362578,27.21213177670641
48,4.316841181882011,60.572605661569554,3.7641025968484643,74.94097422589526
49,1.4062679640751425,18.99555474295514,2.137999370200066,31.89188830887769
50,5.984313769417013,12.73213188061938,6.817301021797323,31.82715012738852
51,1.3418810504001664,4.296410835480945,0.7128762394377934,16.396754204092804
52,1.0457273565242209,7.115554972759866,1.4202637360769104,19.575389712205588
53,4.560667296813692,20.42442619754925,4.239728924996203,37.75627199470423
54,0.9558222390800515,6.12444355612924,0.9280513816521706,17.2971023282962
55,1.5345624710892518,7.474080136024707,1.1756165456527203,19.773340551959095
56,2.1784469384048912,2.8251256030666254,1.9870054191887387,15.934111603544633
57,4.629074585143603,9.050056008965688,3.528342497354825,25.569629593692405
58,2.077208519292093,14.115544396647891,1.7850320687153414,27.19607267217129
59,3.090583055588081,14.48713429716105,2.659559120522166,29.175794629740853
60,2.2559659072944305,14.72671402659621,1.699083122505805,28.675469146657107
61,2.0980130548336726,9.66989491680185,1.9178831180993166,24.138521118657174
62,4.883014610984369,9.689808698931243,4.505736704253333,26.92420752283159
63,5.040601160243215,15.12840143674346,5.380875176732108,33.273407676140565
64,4.7325321904735045,16.44364416802112,4.558453787988601,33.77472584774191
65,2.270304904776427,16.442662602048557,1.6997968618831003,31.198959968490946
66,1.1128720439786608,9.669842360549953,1.2329925629732301,21.08009651933985
67,2.2410432940340588,8.304563956210337,1.5216787175879234,19.982377655683067
68,3.3150304616602604,7.531327880073651,3.158391821402505,22.749136650743033
69,2.409435691128745,17.856223536622764,2.3968598364602363,31.312663124925482
70,2.7982955428419967,22.677327384228377,3.1381642440201167,36.65710756493127
71,3.844199260133147,29.475275648984518,4.174595598077409,45.663269321165764
72,2.6001462695503403,10.142300480781909,2.9746833940655764,24.55627145953937
73,3.168763500177007,3.4369533421287337,2.3981335393932,17.15133964795543
74,1.4912364534507063,9.690554426523313,1.3442922506505814,22.342921674347853
75,3.872305344212346,18.541752917835645,5.015952264999356,33.62678968742723
76,1.183305669918637,5.4513703624604215,0.8558036051058394,17.797875753083943
77,2.212249730578454,18.17989496532514,2.8062146502552925,31.748213769736562
78,2.5331784697734143,28.50198156240927,2.0370742515459996,44.55803516289292
79,1.7831884036597905,9.268716326649784,1.5926841034034072,22.784332922527394
80,5.237714684394163,17.643414833552022,3.108991040455207,34.437102864130125
81,2.0056221881596437,3.8039798388834556,1.1178146024740883,16.925283391574567
82,7.31182240139877,16.195692060168025,6.972204676131201,35.72156205091584
83,3.5173469608092804,9.919293508615269,4.238334784466852,25.54713294827708
84,2.769753825964738,9.500073285098273,2.8035178146773547,25.632000508443497
85,1.5227159692242747,6.188185019732355,1.8881094762535073,18.532102148583604
86,1.7056974349939704,7.655520406521242,1.19247715891198,19.49687905274293
87,1.0290474548302606,10.389770329365794,1.2170978778459098,23.48956900743718
88,3.7988329322613863,16.0510990437109,1.6926015559428533,29.977492506460454
89,3.579968585628445,11.289930330918004,4.567354339666262,26.27510352474431
90,3.1700038861015356,6.47128551080616,3.5595360995466296,23.13386697636392
91,3.626003299945244,32.238480573881915,3.5491672699262584,46.94942003937864
92,2.4060235553681677,7.061580093231115,2.223675139351716,20.528588453490002
93,4.979820416859484,24.588743189876936,3.9560874708965375,42.604512669618735
94,4.295458996335573,5.056574179933814,5.168001172119608,21.686192922498716
95,1.3701505028799015,9.359939932757865,1.262326514017467,21.945313187978556
96,4.404122638772262,7.184066157737372,4.042144351911572,23.06812751012708
97,1.6696575520149615,20.089927126349494,1.2171321188493245,32.20373158699436
98,2.685783769858803,17.02194041042358,1.6936490888225233,30.972438460875054
99,1.6734779195612501,22.844673984000618,1.685236329684491,36.0209057776017
