Run,Mean Q Nurse
0,11.805728898056396
1,87.25711300400023
2,18.99434919308329
3,83.85850429779387
4,82.32643106000572
5,51.262277898150124
6,88.96551967271166
7,112.76304834710828
8,43.051276925431594
9,68.55201843955058
10,52.15666294007674
11,62.19370531374775
12,44.70576591798317
13,110.41852951511662
14,49.49453397724859
15,81.77741234099021
16,90.26286994214261
17,45.55497631855057
18,67.79369312109453
19,77.56848571017359
20,83.11771850984543
21,56.83363554122338
22,79.17716251112347
23,64.78727876077828
24,72.07750722726828
25,108.98231144716095
26,65.22024867232768
27,69.43072582031174
28,70.71955721625132
29,69.76782777894213
30,77.33844621179618
31,82.5824226051326
32,34.314855950742974
33,70.57752054017793
34,88.52665428229258
35,80.38419021351999
36,14.372382433115686
37,36.567630716803464
38,19.512620330128083
39,58.733848414609476
40,78.48230197098901
41,79.42108535516927
42,53.03699848557775
43,48.16950105701923
44,70.10601401602617
45,98.16101125780307
46,41.75754432815855
47,97.61122089625492
48,52.78930865516323
49,35.31420170904468
50,109.6301996690043
51,77.19897423169239
52,104.02101287392018
53,87.65988371891726
54,59.83088611028837
55,57.938894141745465
56,74.50255816050348
57,73.13790839236101
58,72.20345152860386
59,71.76010011933926
60,54.66161460369576
61,23.647335329049717
62,67.01218539766766
63,79.48217488685079
64,100.6679385210818
65,7.386116782065338
66,41.141347329972
67,69.17528345021466
68,27.455888575464567
69,28.746158836073402
70,31.192403695951416
71,97.23856123318791
72,41.18100555505754
73,72.16575761913936
74,92.66420788678887
75,63.2963151058378
76,70.1663734944907
77,50.36245694070595
78,110.06365404248992
79,49.02559845528662
80,40.83305808377944
81,79.37425119674089
82,94.88208526635627
83,117.48623965848915
84,49.83830170308535
85,102.99735934450577
86,106.25445274846193
87,14.359086265927736
88,33.39240987162296
89,83.52145918338232
90,83.9476868827258
91,33.61954021504463
92,62.06019641804078
93,92.84304715862224
94,63.95590841285008
95,67.42537893472829
96,54.540098963167594
97,79.9060180506048
98,32.5724525700986
99,85.97811792570214
